account,session,url,reel_like_count,reel_comment_count,reel_duration,watch_time_seconds,watch_time_percentage,liked,positive_comment,followed,shared,saved,visited_profile,negative_comment,not_interested,datetime
minesweeper_enthusiast,0,reels/C9z75I8oO5L/,1,1,2.033333,1.0166665,0.5,0,0,0,0,0,0,0,0,2024-08-01 20:41:51
minesweeper_enthusiast,0,reels/C9io7O3ttuM/,1,1,16.599999,8.2999995,0.5,0,0,0,0,0,0,0,0,2024-08-01 20:41:59
minesweeper_enthusiast,0,reels/C8eq3reOgDC/,1,1,20.29424,10.14712,0.5,0,0,0,0,0,0,0,0,2024-08-01 20:42:08
minesweeper_enthusiast,0,reels/C9uo8y4A-Xu/,1,1,24.866666666666667,12.433333333333334,0.5,0,0,0,0,0,0,0,0,2024-08-01 20:42:20
minesweeper_enthusiast,0,reels/C87a_7GpdMu/,1,1,8.241631,4.1208155,0.5,0,0,0,0,0,0,0,0,2024-08-01 20:42:24
minesweeper_enthusiast,0,reels/C9pW_jTRrC3/,1,1,12.433333,6.2166665,0.5,0,0,0,0,0,0,0,0,2024-08-01 20:42:30
minesweeper_enthusiast,0,reels/C8xn4EJua8m/,1,1,11.283445,5.6417225,0.5,0,0,0,0,0,0,0,0,2024-08-01 20:42:35
minesweeper_enthusiast,0,reels/C82ShI6MyXH/,1,1,12.166666,6.083333,0.5,0,0,0,0,0,0,0,0,2024-08-01 20:42:40
minesweeper_enthusiast,0,reels/C9m3WkztZGv/,1,1,11.647999,5.8239995,0.5,0,0,0,0,0,0,0,0,2024-08-01 20:42:46
minesweeper_enthusiast,0,reels/C9ejGDAu0k6/,1,1,66,33.0,0.5,0,0,0,0,0,0,0,0,2024-08-01 20:43:18
minesweeper_enthusiast,0,reels/C9h2_RsIfWB/,1,1,6.060408,3.030204,0.5,0,0,0,0,0,0,0,0,2024-08-01 20:43:21
minesweeper_enthusiast,0,reels/C8717tQIcVb/,1,1,18.761723,9.3808615,0.5,0,0,0,0,0,0,0,0,2024-08-01 20:43:30
minesweeper_enthusiast,0,reels/C98B1Osto7x/,1,1,4.0156,2.0078,0.5,0,0,0,0,0,0,0,0,2024-08-01 20:43:31
minesweeper_enthusiast,0,reels/C7zmrFWha1N/,1,1,12.888479,6.4442395,0.5,0,0,0,0,0,0,0,0,2024-08-01 20:43:37
minesweeper_enthusiast,0,reels/C9LgVo5x9-C/,1,1,60.1,30.05,0.5,0,0,0,0,0,0,0,0,2024-08-01 20:44:07
minesweeper_enthusiast,0,reels/C97XQ5uuqYE/,1,1,18.699999,9.3499995,0.5,0,0,0,0,0,0,0,0,2024-08-01 20:44:16
minesweeper_enthusiast,0,reels/C8mLma6vbGV/,1,1,7.174965,3.5874825,0.5,0,0,0,0,0,0,0,0,2024-08-01 20:44:19
minesweeper_enthusiast,0,reels/C89jVV_S1Qp/,1,1,13.84487,6.922435,0.5,0,0,0,0,0,0,0,0,2024-08-01 20:44:25
minesweeper_enthusiast,0,reels/C8FMG8PNNw9/,1,1,10.586847,5.2934235,0.5,0,0,0,0,0,0,0,0,2024-08-01 20:44:30
minesweeper_enthusiast,0,reels/C-DZCliu1dI/,1,1,5.699999,2.8499995,0.5,0,0,0,0,0,0,0,0,2024-08-01 20:44:33
minesweeper_enthusiast,0,reels/C91IwSYS_bN/,1,1,57.546727569766276,28.773363784883138,0.5,0,0,0,0,0,0,0,0,2024-08-01 20:45:01
minesweeper_enthusiast,0,reels/C8UR14sC0PR/,1,1,13.699773,6.8498865,0.5,0,0,0,0,0,0,0,0,2024-08-01 20:45:07
minesweeper_enthusiast,0,reels/C9n_OEYhQY3/,1,1,10.1239,5.06195,0.5,0,0,0,0,0,0,0,0,2024-08-01 20:45:12
minesweeper_enthusiast,0,reels/C-BmDWby3oO/,1,1,3.899999,1.9499995,0.5,0,0,0,0,0,0,0,0,2024-08-01 20:45:13
minesweeper_enthusiast,0,reels/C-AhGUbstG8/,1,1,59,29.5,0.5,0,0,0,0,0,0,0,0,2024-08-01 20:45:42
minesweeper_enthusiast,0,reels/C9tF3taRvRN/,1,1,21.500225,10.7501125,0.5,0,0,0,0,0,0,0,0,2024-08-01 20:45:53
minesweeper_enthusiast,0,reels/C8ofeoAOurd/,1,1,14.535691,7.2678455,0.5,0,0,0,0,0,0,0,0,2024-08-01 20:46:00
minesweeper_enthusiast,0,reels/C8TtKMepYA4/,1,1,49.149065732399066,24.574532866199533,0.5,0,0,0,0,0,0,0,0,2024-08-01 20:46:24
minesweeper_enthusiast,0,reels/C-BKNU2S09R/,1,1,9.333333,4.6666665,0.5,0,0,0,0,0,0,0,0,2024-08-01 20:46:28
minesweeper_enthusiast,0,reels/C-EA_LVu49l/,1,1,15.566666,7.783333,0.5,0,0,0,0,0,0,0,0,2024-08-01 20:46:35
minesweeper_enthusiast,0,reels/C92Bf1juhla/,1,1,53.25067922477812,26.62533961238906,0.5,0,0,0,0,0,0,0,0,2024-08-01 20:47:01
minesweeper_enthusiast,0,reels/C-CEDduMfji/,1,1,4.178139,2.0890695,0.5,0,0,0,0,0,0,0,0,2024-08-01 20:47:03
minesweeper_enthusiast,0,reels/C9nFUaqI-Zz/,1,1,25.233333333333334,12.616666666666667,0.5,0,0,0,0,0,0,0,0,2024-08-01 20:47:16
minesweeper_enthusiast,0,reels/C-EiaiwM9eS/,1,1,7.153361,3.5766805,0.5,0,0,0,0,0,0,0,0,2024-08-01 20:47:19
minesweeper_enthusiast,0,reels/C9nvtiuvRNr/,1,1,10.799999,5.3999995,0.5,0,0,0,0,0,0,0,0,2024-08-01 20:47:24
minesweeper_enthusiast,0,reels/C8vlBWIOn4Q/,1,1,5.317369,2.6586845,0.5,0,0,0,0,0,0,0,0,2024-08-01 20:47:26
minesweeper_enthusiast,0,reels/C93YzHeilw6/,1,1,32.666666666666664,16.333333333333332,0.5,0,0,0,0,0,0,0,0,2024-08-01 20:47:42
minesweeper_enthusiast,0,reels/C9iY7aBvDW1/,1,1,9.819967,4.9099835,0.5,0,0,0,0,0,0,0,0,2024-08-01 20:47:46
minesweeper_enthusiast,0,reels/C97mI8bpk_B/,1,1,18.335166,9.167583,0.5,0,0,0,0,0,0,0,0,2024-08-01 20:47:55
minesweeper_enthusiast,0,reels/C9xfJ4fC3Gf/,1,1,12.051156,6.025578,0.5,0,0,0,0,0,0,0,0,2024-08-01 20:48:00
minesweeper_enthusiast,0,reels/C963HYeIB4Y/,1,1,22.333333,11.1666665,0.5,0,0,0,0,0,0,0,0,2024-08-01 20:48:11
minesweeper_enthusiast,0,reels/C99D-Y5SN01/,1,1,4.166666,2.083333,0.5,0,0,0,0,0,0,0,0,2024-08-01 20:48:13
minesweeper_enthusiast,0,reels/C95BS2ShleR/,1,1,13.072834,6.536417,0.5,0,0,0,0,0,0,0,0,2024-08-01 20:48:19
minesweeper_enthusiast,0,reels/C9lFqSJNk2m/,1,1,4.156371,2.0781855,0.5,0,0,0,0,0,0,0,0,2024-08-01 20:48:21
minesweeper_enthusiast,0,reels/C97rnEtMKvX/,1,1,3.181133,1.5905665,0.5,0,0,0,0,0,0,0,0,2024-08-01 20:48:23
minesweeper_enthusiast,0,reels/C99TDYsuwWP/,1,1,46.333333333333336,23.166666666666668,0.5,0,0,0,0,0,0,0,0,2024-08-01 20:48:46
minesweeper_enthusiast,0,reels/C9_SobchKbi/,1,1,20.9,10.45,0.5,0,0,0,0,0,0,0,0,2024-08-01 20:48:56
minesweeper_enthusiast,0,reels/C92GmxQIsMa/,1,1,9.899999,4.9499995,0.5,0,0,0,0,0,0,0,0,2024-08-01 20:49:01
minesweeper_enthusiast,0,reels/C97TrFjsNIu/,1,1,14.033333,7.0166665,0.5,0,0,0,0,0,0,0,0,2024-08-01 20:49:07
minesweeper_enthusiast,0,reels/C90qg5uuGiO/,1,1,6.033333,3.0166665,0.5,0,0,0,0,0,0,0,0,2024-08-01 20:49:10
minesweeper_enthusiast,0,reels/C97evboI5u9/,1,1,45.008737135506,22.504368567753,0.5,0,0,0,0,0,0,0,0,2024-08-01 20:49:32
minesweeper_enthusiast,0,reels/C7HU8XVITP-/,1,1,14.899999,7.4499995,0.5,0,0,0,0,0,0,0,0,2024-08-01 20:49:39
minesweeper_enthusiast,0,reels/C9fbBkoSLJu/,1,1,14.11628,7.05814,0.5,0,0,0,0,0,0,0,0,2024-08-01 20:49:45
minesweeper_enthusiast,0,reels/C9wNJcJBrHq/,1,1,24.966666666666665,12.483333333333333,0.5,0,0,0,0,0,0,0,0,2024-08-01 20:49:57
minesweeper_enthusiast,0,reels/C96Qn5SP9EM/,1,1,12.445895,6.2229475,0.5,0,0,0,0,0,0,0,0,2024-08-01 20:50:03
minesweeper_enthusiast,0,reels/C90P0Hfs-wT/,1,1,39.43935602268935,19.719678011344676,0.5,0,0,0,0,0,0,0,0,2024-08-01 20:50:22
